6
30 396
22 25 81
7 9 97
24 27 56
12 22 28
8 9 11
6 29 40
18 28 16
20 23 93
1 9 10
15 18 31
7 30 18
4 28 76
5 21 80
5 22 11
17 27 74
4 21 35
4 5 80
12 21 25
1 2 53
22 26 89
2 16 2
3 28 75
12 14 10
4 8 54
2 9 80
3 11 51
12 30 97
5 27 67
18 27 100
14 26 83
6 10 81
18 29 53
14 22 62
5 25 79
5 30 20
10 22 67
28 29 81
16 20 73
5 19 81
10 15 18
8 27 35
2 28 30
1 19 48
4 14 13
15 24 86
2 24 92
16 18 53
7 22 50
1 21 85
25 28 80
14 20 52
23 27 40
9 23 70
6 13 7
25 29 12
23 29 71
15 16 17
23 30 27
22 30 84
9 16 75
11 18 49
17 20 28
13 17 33
17 18 7
18 26 77
11 12 26
14 29 1
23 25 13
5 13 71
7 26 4
20 30 44
1 14 10
22 29 94
7 29 46
6 9 85
1 22 42
9 21 98
17 24 23
17 30 80
7 18 76
3 5 40
3 26 56
1 13 74
26 29 4
5 26 93
7 19 74
4 9 57
4 13 86
9 19 61
13 24 44
20 24 47
20 22 63
4 29 84
2 20 65
15 26 91
10 13 56
14 27 75
27 30 95
14 25 73
6 15 24
13 19 31
7 12 13
1 8 63
8 18 66
15 21 74
11 27 68
8 29 4
12 19 50
2 18 15
1 27 82
17 19 11
6 14 88
4 26 2
8 14 55
11 16 16
4 15 34
2 23 26
16 21 1
21 22 61
2 6 59
14 16 41
5 29 56
8 30 11
3 14 90
15 19 45
8 22 1
5 12 85
2 5 65
10 21 96
5 7 91
21 24 39
7 23 3
24 28 71
1 5 83
16 23 49
16 22 88
8 24 36
2 30 55
8 20 61
24 30 33
20 25 40
2 27 35
21 27 83
14 18 78
25 26 27
11 26 71
5 6 64
9 30 9
9 11 25
19 21 41
4 24 13
17 21 48
18 24 11
18 22 6
11 13 47
12 26 43
10 11 23
9 13 14
1 23 22
1 12 93
12 17 37
21 28 36
4 10 1
3 13 97
10 27 45
13 14 58
18 19 77
5 9 13
10 24 79
17 25 27
13 20 71
10 16 52
19 20 11
6 16 15
9 14 1
6 30 67
6 19 6
14 15 91
9 15 37
14 28 66
6 18 7
6 26 68
9 28 52
8 28 10
15 25 69
15 30 2
6 8 6
2 29 22
6 23 6
1 15 15
8 26 11
27 29 88
11 23 64
15 20 77
3 8 57
11 25 85
1 25 38
9 26 93
27 28 10
7 13 94
19 24 49
15 17 64
15 27 65
21 26 16
5 11 58
7 8 37
16 24 43
18 20 56
9 12 78
13 16 16
26 28 36
7 11 64
16 28 69
9 22 68
1 24 50
2 12 35
7 24 81
13 29 25
8 25 55
17 23 81
20 27 25
10 30 78
8 10 22
1 26 22
1 16 77
4 19 49
5 15 13
3 9 39
20 21 60
4 11 74
5 16 77
10 12 53
20 26 93
2 14 93
12 20 23
24 26 65
15 28 56
6 25 26
2 15 40
12 24 45
14 17 21
13 22 63
1 11 25
19 30 53
13 27 1
3 10 38
16 29 78
8 11 19
6 12 49
14 21 18
1 10 93
1 28 63
12 16 71
4 27 15
19 25 19
3 21 69
9 25 81
4 25 81
15 23 7
4 6 33
2 8 93
16 17 65
4 22 79
3 12 19
10 17 91
12 27 17
21 23 25
4 23 64
1 20 17
23 28 31
10 20 90
13 28 43
4 12 62
5 23 10
3 22 35
10 28 23
2 19 79
29 30 41
4 20 16
7 25 21
4 7 18
19 23 35
15 29 88
8 19 22
16 25 52
1 4 86
7 20 37
22 24 56
17 29 85
6 17 4
8 23 35
13 15 25
14 30 77
19 22 35
24 29 72
7 14 57
5 20 49
16 26 79
3 18 36
20 28 59
6 27 18
9 27 100
17 26 2
8 21 1
1 18 86
7 28 2
9 18 61
10 23 53
4 17 73
3 24 13
2 21 72
13 21 12
24 25 91
6 7 82
2 25 90
6 11 50
9 29 51
21 30 78
2 11 30
1 17 56
3 27 96
4 16 23
3 20 7
3 23 87
22 27 94
13 30 90
5 24 64
14 24 4
9 17 16
2 3 83
14 23 28
22 23 91
12 15 81
16 30 25
11 30 39
6 22 91
11 14 87
17 22 59
18 25 18
9 24 21
10 25 30
22 28 82
3 25 81
2 17 60
11 17 7
12 23 64
7 17 99
5 8 41
12 28 50
1 3 20
11 28 82
2 26 18
13 25 24
7 10 32
5 17 17
13 26 73
15 22 51
2 7 50
6 20 83
11 20 62
11 29 13
3 16 22
26 27 15
11 22 46
9 20 89
10 14 63
19 26 20
8 13 5
9 10 9
20 29 41
23 24 26
2 13 54
3 30 47
16 27 10
16 19 51
17 28 50
19 27 88
28 30 30
4 18 25
19 29 33
5 28 85
3 29 45
7 21 64
1 30 55
5 14 20
1 6 33
11 19 12
12 25 79
3 15 29
18 21 91
14 19 16
2 4 56
8 16 50
19 28 96
18 23 53
23 26 46
7 8
2 4 14
4 6 74
2 6 23
5 7 58
3 4 23
1 3 27
4 7 67
3 5 55
55 455
16 49 57
1 28 47
7 8 71
11 51 39
29 37 66
14 31 34
19 42 13
14 42 72
7 45 100
11 50 78
15 32 95
28 50 99
14 54 27
1 41 58
19 33 89
14 33 20
11 44 39
2 9 16
19 30 28
22 46 95
9 41 47
25 43 16
1 4 8
12 26 72
10 16 95
3 55 62
20 42 52
30 51 2
2 19 43
6 54 23
23 55 79
43 47 30
35 50 77
49 53 85
3 39 15
18 54 87
11 15 85
2 6 13
48 52 88
28 32 10
22 54 97
27 45 99
5 54 68
33 48 93
42 48 97
21 51 86
52 53 26
46 47 54
21 25 73
16 35 51
14 46 77
30 52 15
28 49 8
20 33 25
11 40 100
5 42 46
19 22 85
40 46 68
36 41 35
13 44 51
15 52 5
29 49 17
24 39 68
1 39 33
47 49 38
5 11 7
35 48 19
21 50 91
9 36 76
9 20 97
33 55 68
36 48 11
38 49 7
17 30 84
3 9 80
22 27 10
17 31 18
11 48 49
30 45 88
9 47 64
46 48 3
21 40 65
16 27 4
14 29 40
3 36 2
26 48 64
29 54 10
33 46 51
27 48 13
15 21 18
35 53 50
27 37 15
29 40 64
45 52 100
15 36 72
10 52 41
22 41 35
9 45 26
19 36 30
18 47 30
32 41 57
24 32 63
12 33 99
14 25 57
33 45 16
11 41 36
15 55 4
32 37 47
1 24 74
34 37 6
13 38 16
33 50 2
10 33 62
48 50 84
10 43 87
31 33 92
23 48 86
34 50 40
47 55 71
13 29 87
5 9 59
3 23 45
37 44 80
12 14 63
16 25 41
3 32 68
24 36 81
24 31 73
34 35 24
9 14 71
26 32 53
6 45 13
22 39 9
5 43 27
1 40 14
18 22 29
22 26 51
2 22 59
12 41 73
19 21 36
15 17 77
4 33 82
37 40 81
13 41 98
16 20 54
16 42 93
17 25 68
4 51 20
16 51 29
16 52 62
10 30 19
13 19 90
32 50 68
2 12 74
33 43 10
6 18 66
26 44 84
