10
36 425
18 25 72
7 33 29
22 25 75
13 22 84
20 33 32
4 22 37
9 27 18
31 35 6
8 36 68
16 32 63
5 33 91
10 27 68
12 15 57
6 10 28
24 35 21
4 34 45
3 27 67
27 34 4
7 10 65
9 12 95
9 36 25
14 31 53
8 22 89
7 15 66
2 20 68
20 36 10
32 34 54
8 33 80
5 27 51
24 36 97
15 29 67
30 33 100
2 8 83
4 18 81
30 35 53
14 34 62
1 35 79
12 27 49
23 32 100
4 23 30
5 19 58
8 17 66
13 33 75
1 22 55
18 20 7
30 32 11
1 20 84
17 22 14
3 30 34
26 28 26
13 36 62
2 25 31
25 33 88
20 25 64
14 16 47
10 12 43
13 35 99
11 20 99
3 16 55
18 21 43
11 12 42
15 32 96
3 5 58
17 29 40
5 15 53
33 36 57
8 15 78
4 25 99
5 18 26
29 32 1
22 34 63
7 14 57
8 18 10
7 36 84
6 11 62
22 29 7
14 29 87
6 15 85
10 19 42
3 9 98
17 36 23
12 29 80
25 30 76
3 29 40
33 35 3
13 19 74
3 4 9
3 19 76
1 17 39
14 27 19
10 29 14
7 26 97
17 31 14
19 24 100
11 18 20
16 19 74
28 29 30
2 5 46
9 29 10
4 13 43
14 18 97
24 34 37
1 19 54
6 17 65
1 15 53
24 27 27
14 19 58
2 15 51
14 24 9
12 36 99
2 6 99
14 30 15
10 17 19
3 18 44
24 26 44
32 35 21
9 22 31
16 21 54
6 22 50
11 14 26
10 21 1
9 28 61
3 28 76
18 32 66
9 16 54
5 10 95
6 20 78
3 7 84
7 18 45
32 33 22
9 11 72
9 35 12
9 25 20
20 24 57
5 16 7
27 35 84
2 16 98
6 9 39
1 29 3
28 30 71
11 15 66
28 33 76
2 12 64
5 24 70
26 30 32
8 32 61
9 34 20
1 2 40
9 20 35
21 27 83
12 32 78
13 20 27
16 18 28
2 26 91
11 36 5
20 27 70
1 21 29
21 33 66
2 34 14
17 21 87
12 18 34
17 30 72
6 19 11
20 31 42
19 35 20
19 31 39
2 11 1
34 35 77
24 29 61
29 36 47
3 22 36
4 28 1
9 19 97
11 29 24
9 10 24
9 13 81
19 21 88
9 15 25
17 18 20
5 11 51
2 7 100
15 20 52
28 32 19
10 11 64
20 29 79
1 30 90
28 35 75
13 24 6
1 31 54
2 14 36
16 24 86
12 30 59
16 20 10
1 33 69
15 24 2
12 14 6
23 26 26
11 30 5
1 27 15
15 26 58
26 27 49
21 36 76
9 14 77
13 31 71
7 21 95
17 34 46
11 28 1
26 29 47
3 23 28
19 30 23
30 31 54
21 32 14
4 36 35
13 21 66
18 23 37
8 25 76
21 24 22
14 25 56
2 21 28
8 31 38
10 26 42
3 12 25
7 31 74
8 26 42
11 25 60
7 25 9
7 19 74
6 25 24
29 31 25
19 27 98
27 36 16
5 13 20
15 33 55
8 34 50
13 26 39
15 17 88
2 27 20
25 34 66
4 26 1
9 32 82
13 28 49
11 21 13
3 15 39
3 26 60
10 35 74
17 28 77
6 28 53
6 13 71
2 9 4
5 20 54
24 33 60
1 12 36
6 34 75
20 34 54
4 8 15
24 30 74
20 21 45
26 35 21
16 23 7
25 31 52
11 27 91
6 29 19
1 6 53
1 28 43
7 24 56
22 27 30
11 23 63
20 30 6
9 30 31
28 31 12
23 36 95
13 25 19
15 21 69
7 20 18
1 8 65
12 16 45
14 21 43
27 28 76
5 26 14
10 28 79
6 36 22
9 31 46
23 35 70
27 33 62
25 35 11
4 5 98
7 9 40
20 22 96
1 9 80
17 19 44
16 35 56
19 20 19
10 31 22
17 24 100
4 20 14
14 36 66
